iter	Passed	Remaining
925	2690	215
926	2693	212
927	2696	209
928	2698	206
929	2700	203
930	2702	200
931	2705	197
932	2707	194
933	2710	191
934	2713	188
935	2715	185
936	2717	182
937	2720	179
938	2722	176
939	2725	173
940	2727	171
941	2730	168
942	2732	165
943	2734	162
944	2737	159
945	2739	156
946	2742	153
947	2744	150
948	2746	147
949	2748	144
950	2751	141
951	2753	138
952	2756	135
953	2758	133
954	2760	130
955	2763	127
956	2765	124
957	2767	121
958	2770	118
959	2772	115
960	2775	112
961	2777	109
962	2780	106
963	2782	103
964	2785	101
965	2787	98
966	2789	95
967	2792	92
968	2794	89
969	2796	86
970	2799	83
971	2802	80
972	2804	77
973	2806	74
974	2809	72
975	2811	69
976	2814	66
977	2816	63
978	2819	60
979	2821	57
980	2824	54
981	2826	51
982	2828	48
983	2831	46
984	2833	43
985	2835	40
986	2838	37
987	2840	34
988	2843	31
989	2845	28
990	2847	25
991	2849	22
992	2852	20
993	2854	17
994	2856	14
995	2859	11
996	2861	8
997	2863	5
998	2866	2
999	2868	0
